#Time	June	Oct	Mar
49932	0.77752868	0.775452787	0.768124529
49944	0.777529608	0.775452903	0.768125603
49945	0.77753021	0.775455698	0.768158367
49955	0.777537387	0.77547971	0.76815946
49959	0.77753842	0.775489345	0.768172492
50036	0.777538485	0.775489839	0.768176987
50096	0.777552128	0.775515597	0.768177003
50130	0.777600023	0.775516094	0.768181133
50145	0.777600079	0.775517654	0.768189943
50173	0.777600805	0.775518202	0.768191008
50203	0.777601573	0.775528117	0.768191384
50304	0.777601639	0.775529864	0.768192721
50327	0.777602054	0.775534482	0.76819783
50380	0.777602421	0.775568	0.768201392
50467	0.777606008	0.77559053	0.768202859
50567	0.777606501	0.775603585	0.768203537
50636	0.777628451	0.77560671	0.768203964
50738	0.777642358	0.775607243	0.768205061
50822	0.777642765	0.775622295	0.768242892
50928	0.777644216	0.775622757	0.768242984
50940	0.777644372	0.775632541	0.768249156
50986	0.777667122	0.775650946	0.768287232
51065	0.777799017	0.775652182	0.768288343
51140	0.777806906	0.775654911	0.768291336
51166	0.777819689	0.775655067	0.768291499
51171	0.777843604	0.775656097	0.768321234
51179	0.777844179	0.775671212	0.768323905
51193	0.777844553	0.775671421	0.768348593
51197	0.777858923	0.77567356	0.768349427
51202	0.777859649	0.77570094	0.768361191
51247	0.777859697	0.775701261	0.768378768
51362	0.777864463	0.775705323	0.768430276
51398	0.777864481	0.775708729	0.768430314
51478	0.777866305	0.775708909	0.768431079
51499	0.777867892	0.77570897	0.7684481
51505	0.777869523	0.775709492	0.768449388
51575	0.777961085	0.775711663	0.768454152
51577	0.777964049	0.775716841	0.768454798
51632	0.777972061	0.775722858	0.768456183
51639	0.777972129	0.775734537	0.768472665
51659	0.777977939	0.775735209	0.768475956
51684	0.777980626	0.775739833	0.768477583
51693	0.777984027	0.775740132	0.768479362
51705	0.777984046	0.775748123	0.768516398
51711	0.777995228	0.775758075	0.768516456
51715	0.777996933	0.77576002	0.768516473
51775	0.778001997	0.775760083	0.768516531
51783	0.778013474	0.775773468	0.768516576
51795	0.778016454	0.775773925	0.768525406
51809	0.778017526	0.775774969	0.768525424
51831	0.778017762	0.775775206	0.76854309
51832	0.778019384	0.776478425	0.768543612
51880	0.7780209	0.776478579	0.768543687
51947	0.778021108	0.776479842	0.768544409
51954	0.778022102	0.776486094	0.768545087
51975	0.778022523	0.776546574	0.768549122
51994	0.778028524	0.776554242	0.768549605
52026	0.778030101	0.776554461	0.76855624
52032	0.778030142	0.776554677	0.768557013
52105	0.778030257	0.776555467	0.768571387
52110	0.778030322	0.776560316	0.768581763
52130	0.778035625	0.776560409	0.768597984
52178	0.778036351	0.776560457	0.768625535
52179	0.77803638	0.776561729	0.768642534
52219	0.778036614	0.7765631	0.768663834
52264	0.778058625	0.776563895	0.76866385
52279	0.77806234	0.776572669	0.768669006
52286	0.778062402	0.776583996	0.768683375
52327	0.778072821	0.776587552	0.768684212
52339	0.778073211	0.776588383	0.76868434
52351	0.778079521	0.77660528	0.768684399
52354	0.778100107	0.776607143	0.768685939
52355	0.778105041	0.776608059	0.768686001
52365	0.77810634	0.776613365	0.768692495
52381	0.778107364	0.776629289	0.768736943
52384	0.778108956	0.776629847	0.768736974
52386	0.778108998	0.776638503	0.76873703
52425	0.778110354	0.776640452	0.768737193
52446	0.778133131	0.77664192	0.768742443
52449	0.778161994	0.776643127	0.768776151
52455	0.778179001	0.776645416	0.768781217
52459	0.778179068	0.776653294	0.768783948
52492	0.778179129	0.776654319	0.768785674
