expAges,June 15 2013,October 15 2013,March 15 2014
319500,4.07432E-05,1.51796E-05,2.53591E-05
320400,2.03716E-05,5.05986E-06,5.579E-05
321300,5.09289E-06,1.01197E-05,5.07182E-06
322200,4.07432E-05,1.01197E-05,3.04309E-05
323100,1.01858E-05,5.05986E-06,1.01436E-05
324000,2.03716E-05,0,3.04309E-05
324900,1.52787E-05,2.02394E-05,0
325800,1.01858E-05,1.51796E-05,5.07182E-06
326700,1.52787E-05,5.05986E-06,0
327600,0,2.02394E-05,1.52155E-05
328500,2.03716E-05,5.05986E-06,1.52155E-05
329400,5.09289E-06,5.05986E-06,3.55027E-05
330300,1.01858E-05,0,2.53591E-05
331200,0,1.01197E-05,1.52155E-05
332100,5.09289E-06,1.01197E-05,3.55027E-05
333000,0,1.01197E-05,0
333900,6.11147E-05,5.05986E-06,1.01436E-05
334800,0,3.03591E-05,2.53591E-05
335700,4.07432E-05,1.01197E-05,5.07182E-06
336600,5.09289E-05,1.51796E-05,1.01436E-05
337500,1.52787E-05,0,3.55027E-05
338400,4.5836E-05,1.01197E-05,1.52155E-05
339300,5.09289E-05,3.03591E-05,2.53591E-05
340200,1.52787E-05,0,1.52155E-05
341100,5.09289E-06,1.01197E-05,1.01436E-05
342000,1.52787E-05,5.05986E-06,0
342900,2.03716E-05,5.05986E-06,3.04309E-05
343800,1.01858E-05,5.05986E-06,1.01436E-05
344700,1.01858E-05,5.05986E-06,5.07182E-06
345600,0.001925114,0.001856968,0.002464903
346500,5.09289E-06,4.55387E-05,3.04309E-05
347400,1.52787E-05,5.56584E-05,0
348300,1.01858E-05,0,2.53591E-05
349200,0,5.05986E-06,0
350100,1.01858E-05,5.05986E-06,5.07182E-06
351000,2.03716E-05,5.05986E-06,0
351900,0,2.52993E-05,1.52155E-05
352800,1.52787E-05,5.05986E-06,2.53591E-05
353700,6.62076E-05,5.05986E-06,1.52155E-05
354600,2.54645E-05,2.52993E-05,5.07182E-06
355500,5.60218E-05,2.02394E-05,1.52155E-05
356400,5.09289E-06,3.5419E-05,5.07182E-06
357300,1.01858E-05,1.51796E-05,5.07182E-06
358200,0,2.02394E-05,1.01436E-05
359100,1.01858E-05,1.01197E-05,2.02873E-05
360000,9.16721E-05,0.000328891,0.000116652
360900,1.01858E-05,3.5419E-05,0
361800,1.01858E-05,2.52993E-05,2.02873E-05
362700,1.01858E-05,2.52993E-05,1.52155E-05
363600,6.62076E-05,1.51796E-05,9.12927E-05
364500,4.5836E-05,1.51796E-05,1.01436E-05
365400,1.01858E-05,3.03591E-05,5.07182E-06
366300,1.01858E-05,5.05986E-05,1.01436E-05
367200,2.03716E-05,3.03591E-05,0
368100,1.01858E-05,3.03591E-05,1.01436E-05
369000,1.01858E-05,5.05986E-06,1.01436E-05
369900,5.09289E-06,5.05986E-06,1.52155E-05
370800,1.01858E-05,1.51796E-05,1.52155E-05
371700,3.05574E-05,1.51796E-05,1.01436E-05
372600,0,4.04789E-05,1.52155E-05
373500,1.01858E-05,0.000156856,1.52155E-05
374400,3.05574E-05,5.05986E-06,5.07182E-06
375300,1.01858E-05,3.03591E-05,1.01436E-05
376200,1.01858E-05,1.51796E-05,1.52155E-05
377100,4.07432E-05,0,5.07182E-06
378000,3.05574E-05,3.03591E-05,0.00011158
378900,1.52787E-05,1.01197E-05,1.52155E-05
379800,1.01858E-05,2.52993E-05,1.01436E-05
380700,3.05574E-05,5.05986E-06,1.01436E-05
381600,0,0,0
382500,2.54645E-05,5.05986E-06,5.07182E-06
383400,0,5.05986E-06,0
384300,5.09289E-06,5.05986E-06,3.55027E-05
385200,5.09289E-06,4.04789E-05,1.01436E-05
386100,5.09289E-06,5.05986E-06,5.07182E-06
387000,1.01858E-05,1.51796E-05,1.01436E-05
387900,5.09289E-06,1.01197E-05,1.52155E-05
388800,0,5.05986E-06,1.01436E-05
389700,1.01858E-05,2.02394E-05,1.52155E-05
390600,1.01858E-05,1.01197E-05,2.02873E-05
391500,9.6765E-05,1.51796E-05,5.07182E-06
392400,6.11147E-05,1.51796E-05,1.52155E-05
393300,3.05574E-05,2.02394E-05,5.07182E-06
394200,5.09289E-06,1.01197E-05,1.01436E-05
395100,5.09289E-06,1.01197E-05,6.59336E-05
396000,1.01858E-05,1.51796E-05,1.01436E-05
396900,0,1.01197E-05,1.52155E-05
397800,5.09289E-06,6.57782E-05,1.52155E-05
398700,5.09289E-06,3.03591E-05,1.01436E-05
399600,1.52787E-05,5.05986E-06,3.04309E-05
400500,5.09289E-05,2.02394E-05,5.07182E-06
401400,0,2.02394E-05,5.07182E-06
402300,1.52787E-05,1.51796E-05,5.07182E-06
403200,1.52787E-05,1.01197E-05,5.07182E-06
404100,3.56503E-05,0.000106257,0
405000,1.52787E-05,5.05986E-06,1.52155E-05
405900,5.09289E-06,1.51796E-05,5.07182E-06
406800,1.52787E-05,2.02394E-05,1.01436E-05
407700,1.52787E-05,5.05986E-06,0
408600,0,0,1.52155E-05
409500,5.09289E-06,1.01197E-05,5.07182E-06
410400,1.52787E-05,5.05986E-06,2.53591E-05
411300,4.07432E-05,1.51796E-05,5.07182E-06
412200,4.5836E-05,1.51796E-05,2.53591E-05
413100,3.56503E-05,1.01197E-05,0.000131867
414000,2.03716E-05,6.07183E-05,3.04309E-05
414900,1.52787E-05,1.51796E-05,5.07182E-06
415800,1.01858E-05,1.51796E-05,3.04309E-05
416700,2.54645E-05,5.05986E-06,1.52155E-05
417600,5.09289E-05,5.05986E-06,1.52155E-05
418500,2.54645E-05,1.01197E-05,4.56464E-05
419400,2.03716E-05,1.01197E-05,2.02873E-05
420300,3.05574E-05,5.05986E-06,1.01436E-05
421200,2.54645E-05,2.52993E-05,1.01436E-05
422100,1.52787E-05,5.05986E-06,5.07182E-06
423000,1.52787E-05,1.51796E-05,0
423900,5.09289E-06,1.51796E-05,3.55027E-05
424800,0,2.02394E-05,1.01436E-05
425700,1.01858E-05,3.03591E-05,0
426600,2.03716E-05,0,2.02873E-05
427500,0,4.55387E-05,5.07182E-06
428400,6.11147E-05,1.51796E-05,5.07182E-06
429300,2.54645E-05,1.01197E-05,2.53591E-05
430200,5.09289E-06,1.01197E-05,5.07182E-06
431100,2.03716E-05,0,1.01436E-05
432000,0.004583605,0.003425524,0.003022803
432900,1.01858E-05,0,1.52155E-05
433800,1.01858E-05,1.51796E-05,1.01436E-05
434700,2.54645E-05,2.52993E-05,1.01436E-05
435600,1.01858E-05,1.51796E-05,2.53591E-05
436500,0,1.51796E-05,2.02873E-05
437400,5.09289E-06,1.51796E-05,1.52155E-05
438300,2.03716E-05,5.05986E-06,1.52155E-05
439200,1.52787E-05,1.01197E-05,0
440100,1.01858E-05,5.05986E-06,0.000309381
441000,3.05574E-05,1.51796E-05,5.07182E-06
441900,1.01858E-05,0,1.01436E-05
442800,0,0,1.52155E-05
443700,5.09289E-06,3.03591E-05,0
444600,5.09289E-05,1.51796E-05,2.02873E-05
445500,5.60218E-05,5.05986E-06,5.07182E-06
446400,1.01858E-05,1.01197E-05,2.53591E-05
447300,2.54645E-05,0,2.53591E-05
448200,2.54645E-05,0,2.02873E-05
449100,0,2.52993E-05,4.05745E-05
450000,3.05574E-05,1.01197E-05,2.02873E-05
450900,5.09289E-06,2.02394E-05,1.01436E-05
451800,5.09289E-06,1.51796E-05,1.52155E-05
452700,1.52787E-05,7.0838E-05,2.53591E-05
453600,1.52787E-05,6.57782E-05,0
454500,3.56503E-05,6.57782E-05,5.07182E-06
455400,1.01858E-05,1.01197E-05,5.07182E-06
456300,1.52787E-05,2.02394E-05,5.07182E-06
457200,3.56503E-05,2.02394E-05,5.07182E-06
458100,5.09289E-06,0,0
459000,5.09289E-06,2.02394E-05,1.52155E-05
459900,2.54645E-05,1.51796E-05,1.01436E-05
460800,3.56503E-05,5.05986E-06,1.52155E-05
461700,3.05574E-05,5.05986E-05,1.52155E-05
462600,5.09289E-06,1.01197E-05,5.07182E-06
463500,2.03716E-05,0,1.01436E-05
464400,2.03716E-05,0,2.02873E-05
465300,0,2.02394E-05,1.01436E-05
466200,2.03716E-05,2.52993E-05,1.52155E-05
467100,1.52787E-05,2.52993E-05,2.02873E-05
